GEOID,POSITIVE,DEATHS,HOSP_YES
55079150303,595,8.0,44.0
55079018000,285,,9.0
55079120102,486,15.0,29.0
55017010100,300,,12.0
55079150304,478,,22.0
55025000408,162,11.0,24.0
55025000405,464,,26.0
55025000902,417,,
55025001102,427,,
55025001606,1632,,
55025001705,311,,
55079160204,596,,40.0
55079185600,142,5.0,21.0
55079186000,187,,41.0
55079185500,141,,21.0
55079185900,161,5.0,14.0
55079185400,115,,22.0
55079185800,131,,18.0
55079186200,135,,16.0
55087011300,291,,11.0
55087011501,308,,10.0
55087011502,440,,26.0
55025001804,267,,7.0
55087011600,832,11.0,31.0
55087011800,207,,
55087011400,553,19.0,30.0
55025013301,462,,21.0
55025000407,449,,19.0
55025000901,67,,
55025001101,827,,
55025001605,285,,
55025001704,429,7.0,24.0
55079186400,176,,8.0
55079186600,278,,14.0
55078940102,365,5.0,23.0
55078940101,202,,24.0
55079186500,353,,22.0
55025010903,225,,6.0
55025011401,779,15.0,38.0
55025001802,209,,5.0
55025000406,234,7.0,18.0
55133204502,638,6.0,32.0
55127000101,699,,32.0
55071000300,574,6.0,39.0
55071000400,319,,13.0
55019950800,260,,16.0
55019950500,424,,33.0
55019950100,712,16.0,58.0
55019950700,315,,24.0
55019950400,328,,26.0
55019950300,367,14.0,30.0
55019950600,373,,22.0
55019950200,445,12.0,43.0
55071010300,431,,34.0
55071005200,439,,22.0
55071005100,172,,8.0
55071010600,498,,31.0
55071010400,543,,34.0
55071010700,398,,25.0
55071000600,540,5.0,37.0
55071010100,465,6.0,27.0
55071010200,607,,26.0
55071005400,213,,7.0
55071010500,324,13.0,22.0
55133203102,906,20.0,76.0
55133203103,543,,30.0
55133203402,457,,17.0
55133203403,669,,26.0
55133203404,327,,14.0
55071000200,241,,15.0
55087940000,686,6.0,57.0
55059000500,493,16.0,33.0
55059000700,582,17.0,46.0
55059000900,440,7.0,34.0
55139001803,558,15.0,41.0
55059001000,237,,22.0
55091950200,355,,11.0
55091950100,486,5.0,24.0
55115100700,277,,14.0
55115100200,174,,10.0
55115100300,424,,16.0
55115100600,423,6.0,23.0
55115100100,318,,19.0
55115100500,743,24.0,44.0
55115100800,523,11.0,21.0
55115100900,368,9.0,23.0
55115100400,513,,17.0
55115101000,409,,17.0
55115101100,462,6.0,27.0
55059001100,392,20.0,46.0
55059001200,401,,30.0
55059001300,384,,23.0
55059001400,657,16.0,38.0
55059001500,372,,20.0
55059001600,320,,13.0
55059001700,282,5.0,20.0
55059001800,169,,12.0
55059001900,189,,13.0
55059002100,531,21.0,54.0
55059002200,326,,18.0
55059002300,646,20.0,43.0
55139001801,503,5.0,25.0
55059002400,384,6.0,28.0
55059002500,354,6.0,21.0
55087011900,949,,30.0
55087012000,725,6.0,25.0
55087012200,197,,7.0
55133203405,431,,9.0
55015020304,398,,12.0
55015020800,588,,12.0
55015020306,740,,21.0
55015020303,444,,14.0
55015020308,486,,11.0
55015020700,533,,11.0
55111000401,547,10.0,28.0
55127001603,291,7.0,10.0
55127000901,461,8.0,27.0
55127000502,529,9.0,16.0
55127000501,494,,
55059000400,450,8.0,22.0
55059000300,349,14.0,35.0
55001950501,109,,8.0
55059002000,552,11.0,35.0
55105001303,437,,20.0
55105001201,509,,24.0
55105001304,837,6.0,40.0
55089660202,529,11.0,18.0
55089660201,364,,11.0
55101001505,385,,26.0
55101001706,364,10.0,32.0
55101001802,276,,12.0
55101002002,562,,32.0
55009020503,941,17.0,47.0
55059002905,350,,25.0
55101002702,559,7.0,35.0
55101002701,418,6.0,18.0
55101001705,579,,23.0
55101002001,294,,15.0
55079000101,407,14.0,42.0
55079187200,794,,13.0
55079170700,304,,18.0
55079170100,277,,23.0
55079160300,1245,19.0,79.0
55079160202,1019,22.0,88.0
55137960800,428,5.0,26.0
55101001504,314,9.0,25.0
55035001700,569,,5.0
55131450103,535,7.0,21.0
55131450105,406,19.0,29.0
55131440106,374,,7.0
55131440103,506,,22.0
55131400104,622,,18.0
55131450104,743,6.0,21.0
55079070200,385,,12.0
55079060102,260,5.0,20.0
55079187000,398,,21.0
55131420402,202,,11.0
55131420106,337,7.0,9.0
55131470204,491,6.0,10.0
55131470203,481,,14.0
