GEOID,POSITIVE,DEATHS,HOSP_YES
55141010600,522,19.0,37.0
55089610102,345,,14.0
55089610101,408,,28.0
55109120800,713,7.0,34.0
55109120300,494,,16.0
55109120400,1103,5.0,38.0
55109120600,793,,28.0
55109120700,504,5.0,20.0
55109121000,706,6.0,24.0
55139001500,265,,6.0
55101000200,663,13.0,48.0
55101002600,491,17.0,41.0
55101000300,418,8.0,34.0
55101980000,327,17.0,19.0
55101001601,607,8.0,40.0
55101001301,405,5.0,19.0
55101001001,347,20.0,55.0
55101000400,454,7.0,45.0
55101000100,117,,9.0
55003950400,179,,8.0
55003950700,190,,14.0
55003950300,183,6.0,8.0
55003950500,165,,7.0
55003950600,99,,5.0
55101000500,631,13.0,56.0
55101000600,651,10.0,53.0
55101000700,632,5.0,42.0
55101000800,532,12.0,40.0
55101000901,396,,22.0
55101000903,398,8.0,29.0
55101000904,493,15.0,53.0
55101001002,313,,19.0
55101001003,438,,20.0
55139000300,371,6.0,24.0
55131420105,471,,15.0
55101001100,646,12.0,35.0
55101001201,422,,26.0
55027960800,448,,27.0
55027962000,279,14.0,18.0
55027960500,1188,7.0,44.0
55027961100,492,8.0,23.0
55027961600,364,,22.0
55101001202,877,7.0,57.0
55101001302,435,10.0,29.0
55101001400,753,5.0,43.0
55101001501,422,6.0,25.0
55101001502,794,34.0,77.0
55101001602,294,,11.0
55101001701,370,5.0,33.0
55101001702,1651,12.0,52.0
55101001703,486,13.0,33.0
55117011300,866,5.0,45.0
55009020702,842,,22.0
55021970200,462,5.0,16.0
55021971100,427,8.0,33.0
55021970400,761,5.0,34.0
55021970300,470,9.0,31.0
55021970600,417,5.0,34.0
55021970100,376,,20.0
55021970800,532,,20.0
55021970900,476,5.0,20.0
55021970500,338,,16.0
55021970700,409,7.0,19.0
55021971000,297,,24.0
55021971200,502,8.0,41.0
55101001900,386,,15.0
55101002100,320,,23.0
55101002401,510,6.0,22.0
55101002402,505,15.0,49.0
55081950800,362,,17.0
55081950100,467,,16.0
55081950600,461,7.0,28.0
55081950300,734,,30.0
55079018200,101,,7.0
55079019200,408,,23.0
55079019400,432,6.0,29.0
55079019500,428,,18.0
55105001600,553,7.0,36.0
55105002900,714,6.0,36.0
55105002300,239,,12.0
55105000900,262,,14.0
55105002602,424,8.0,18.0
55105003001,536,6.0,44.0
55105000500,388,,37.0
55105000800,333,,24.0
55105001100,561,14.0,37.0
55079100100,479,6.0,26.0
55079100200,468,,39.0
55079100300,402,15.0,49.0
55105000400,313,,19.0
55105000300,243,,19.0
55105002700,209,,
55105000200,242,,8.0
55105002601,686,13.0,45.0
55105003200,199,,9.0
55099970100,230,,25.0
55099970200,190,,14.0
55099970700,190,,9.0
55099970500,212,,16.0
55099970600,200,,12.0
55099970400,162,,19.0
55079110100,596,7.0,45.0
55081950900,579,,14.0
55081950400,517,13.0,19.0
55081950700,366,,17.0
55081950500,632,10.0,29.0
55081950200,458,6.0,10.0
55079019600,477,5.0,32.0
55079100500,397,20.0,48.0
55105001800,536,7.0,40.0
55105001900,290,6.0,18.0
55105002000,441,,21.0
55105002100,466,,25.0
55105002200,225,5.0,16.0
55105002400,398,,16.0
55131410100,611,7.0,31.0
55131430100,602,,11.0
55131420103,655,13.0,22.0
55131400102,448,5.0,19.0
55131460101,685,6.0,21.0
55131470100,621,8.0,26.0
55131420104,649,10.0,25.0
55131420200,610,,17.0
55079120201,427,11.0,46.0
55079120202,389,,19.0
55079120203,416,9.0,26.0
55079120300,281,,12.0
55079120501,478,10.0,32.0
55131420300,602,13.0,17.0
55079120502,622,30.0,75.0
55079130100,567,17.0,32.0
55079130200,301,8.0,34.0
55079140100,341,8.0,37.0
55079140201,580,11.0,47.0
55033970500,585,15.0,39.0
55033970800,773,5.0,10.0
55025001200,522,,10.0
55079001300,372,7.0,35.0
55105001000,344,,21.0
55105001302,588,6.0,26.0
55105001400,598,,34.0
55105001500,170,,17.0
55105001700,583,8.0,33.0
55079001400,273,,22.0
55079001500,343,6.0,31.0
55079001600,252,,17.0
55025010200,57,,
55025010300,223,,9.0
55025010400,215,,9.0
55025010701,278,6.0,21.0
55025011000,253,6.0,14.0
55079140202,626,8.0,36.0
55079150100,1046,19.0,69.0
55079150301,627,,22.0
55079001700,493,6.0,33.0
55079001800,211,5.0,17.0
55079001900,371,9.0,50.0
55025000501,323,,17.0
55079002000,216,,22.0
55079002100,208,,25.0
55025001300,103,,5.0
55105002500,315,7.0,15.0
55105003300,413,7.0,25.0
55105000700,446,6.0,32.0
55105002800,432,,19.0
55105003002,506,,22.0
55105003100,691,7.0,36.0
55079002300,379,9.0,54.0
55079002400,183,,22.0
55079002600,269,,27.0
55079002700,202,,14.0
55079002800,231,,29.0
55079003000,398,5.0,34.0
55079003100,348,,21.0
55079170500,300,15.0,74.0
55079170600,335,,29.0
55025011101,386,,17.0
55025011302,285,8.0,23.0
55025011503,723,,23.0
55079180200,519,,44.0
55005000100,413,6.0,28.0
55005000300,461,,8.0
55005000900,537,,19.0
55005000800,680,,23.0
55025011504,299,,6.0
55025011505,561,5.0,27.0
55047100100,297,,21.0
55047100200,294,,13.0
55047100500,188,,11.0
55047100300,260,,19.0
55047100600,363,10.0,29.0
55047100400,179,,10.0
55079180300,469,,40.0
55079180400,287,,27.0
55079180500,578,12.0,49.0
55079185100,401,8.0,34.0
55009020900,334,,12.0
55009021000,242,,9.0
55009021200,516,,23.0
55009021301,347,,16.0
55009021302,642,,20.0
55009021303,459,15.0,21.0
55025001401,735,5.0,31.0
55079185200,576,12.0,47.0
55079000304,383,5.0,25.0
55025001501,237,,11.0
55025011506,563,6.0,32.0
55009021304,228,,
55079170200,433,8.0,36.0
55079007100,163,,8.0
55079002900,247,,24.0
55079040100,176,7.0,11.0
55079020100,636,7.0,43.0
55079000202,634,5.0,39.0
55025001900,336,,7.0
55025002000,281,,16.0
55079013500,153,,19.0
55079015700,481,7.0,44.0
55025002100,296,,14.0
55025002200,276,,13.0
55079000400,273,,11.0
55079000501,415,,31.0
55079000502,482,5.0,33.0
55079000600,679,12.0,50.0
55079000700,472,21.0,57.0
55079000800,512,6.0,41.0
55079019900,530,8.0,33.0
55079030100,381,12.0,33.0
55025000204,309,,13.0
55079091200,480,,17.0
55079002200,168,,13.0
55079090100,468,13.0,18.0
55079170400,402,,24.0
55079004600,201,8.0,29.0
55079019300,378,,20.0
55079016900,717,8.0,58.0
55079020200,517,,19.0
55079060200,594,23.0,57.0
55079100600,222,,10.0
55015020500,656,11.0,65.0
55015020600,541,7.0,44.0
55005000400,818,12.0,41.0
55005000500,545,5.0,24.0
55005000200,583,6.0,31.0
55005000600,751,21.0,41.0
55079000900,340,5.0,26.0
55079003200,311,5.0,27.0
55079003300,523,6.0,32.0
55079018300,204,,
55079018400,160,,6.0
55079180100,333,,12.0
55079000201,554,,39.0
55079000301,157,,10.0
55079000302,295,,21.0
55079000303,231,,20.0
55025012201,139,,7.0
55025012202,508,11.0,36.0
55025011301,595,10.0,26.0
55025012300,381,,21.0
55025013000,323,,12.0
55025001403,776,8.0,28.0
55025011700,352,,12.0
55025010901,453,7.0,15.0
55025011600,516,6.0,20.0
55025012800,575,,23.0
55025002302,188,,17.0
55025012001,715,5.0,25.0
55025012100,255,,11.0
55025010800,867,7.0,29.0
55025013100,292,9.0,12.0
55079002500,180,,20.0
55079100400,381,,29.0
55079003400,601,7.0,48.0
55079005900,361,,28.0
55079004400,241,5.0,33.0
55025000205,193,,6.0
55079170300,292,,24.0
55079007000,205,,21.0
55079160100,757,,44.0
55079035100,166,,7.0
55079120400,775,7.0,38.0
55079009500,169,,6.0
55079016000,497,5.0,26.0
55079050102,679,9.0,69.0
55079013400,229,,12.0
55079021700,852,15.0,62.0
55079004500,224,9.0,34.0
55025013200,951,9.0,37.0
55025011102,535,,21.0
55025012900,327,,6.0
55025010600,325,,13.0
55025000201,80,,6.0
55025012002,411,,14.0
55025010702,466,6.0,22.0
55025001502,728,,32.0
55025011900,683,,21.0
55025012700,256,,11.0
55025012600,292,,13.0
55025011800,538,,26.0
55025001402,543,,17.0
55025000202,123,,
55025011200,721,,24.0
55025012400,279,,10.0
55025000100,137,,7.0
55025003002,352,,15.0
55133202800,606,19.0,35.0
55133203101,677,12.0,33.0
55133202302,872,6.0,42.0
55133202400,535,6.0,22.0
55133202500,474,6.0,31.0
55133202600,342,,20.0
55133202700,222,7.0,23.0
55133203702,463,,23.0
55025002301,261,,13.0
55025000300,204,,8.0
55025000401,106,,5.0
55025000402,111,,
55079001000,329,,30.0
55079001100,254,5.0,19.0
55079001200,310,,25.0
55059000601,663,13.0,29.0
55059002906,406,7.0,15.0
55043960400,246,,22.0
55043961000,691,5.0,28.0
55043960900,637,,16.0
55043961200,496,8.0,40.0
55043960300,421,8.0,27.0
55043960200,374,8.0,29.0
55043960700,367,5.0,24.0
55043960800,297,,22.0
55043960100,277,9.0,22.0
55043960500,273,,17.0
55043961100,499,11.0,31.0
55043960600,311,23.0,26.0
